"FIPS","County","State"
"01001","Autauga","ALABAMA"
"01003","Baldwin","ALABAMA"
"01005","Barbour","ALABAMA"
"01007","Bibb","ALABAMA"
"01009","Blount","ALABAMA"
"01011","Bullock","ALABAMA"
"01013","Butler","ALABAMA"
"01015","Calhoun","ALABAMA"
"01017","Chambers","ALABAMA"
"01019","Cherokee","ALABAMA"
"01021","Chilton","ALABAMA"
"01023","Choctaw","ALABAMA"
"01025","Clarke","ALABAMA"
"01027","Clay","ALABAMA"
"01029","Cleburne","ALABAMA"
"01031","Coffee","ALABAMA"
"01033","Colbert","ALABAMA"
"01035","Conecuh","ALABAMA"
"01037","Coosa","ALABAMA"
"01039","Covington","ALABAMA"
"01041","Crenshaw","ALABAMA"
"01043","Cullman","ALABAMA"
"01045","Dale","ALABAMA"
"01047","Dallas","ALABAMA"
"01049","De Kalb","ALABAMA"
"01051","Elmore","ALABAMA"
"01053","Escambia","ALABAMA"
"01055","Etowah","ALABAMA"
"01057","Fayette","ALABAMA"
"01059","Franklin","ALABAMA"
"01061","Geneva","ALABAMA"
"01063","Greene","ALABAMA"
"01065","Hale","ALABAMA"
"01067","Henry","ALABAMA"
"01069","Houston","ALABAMA"
"01071","Jackson","ALABAMA"
"01073","Jefferson","ALABAMA"
"01075","Lamar","ALABAMA"
"01077","Lauderdale","ALABAMA"
"01079","Lawrence","ALABAMA"
"01081","Lee","ALABAMA"
"01083","Limestone","ALABAMA"
"01085","Lowndes","ALABAMA"
"01087","Macon","ALABAMA"
"01089","Madison","ALABAMA"
"01091","Marengo","ALABAMA"
"01093","Marion","ALABAMA"
"01095","Marshall","ALABAMA"
"01097","Mobile","ALABAMA"
"01099","Monroe","ALABAMA"
"01101","Montgomery","ALABAMA"
"01103","Morgan","ALABAMA"
"01105","Perry","ALABAMA"
"01107","Pickens","ALABAMA"
"01109","Pike","ALABAMA"
"01111","Randolph","ALABAMA"
"01113","Russell","ALABAMA"
"01115","St Clair","ALABAMA"
"01117","Shelby","ALABAMA"
"01119","Sumter","ALABAMA"
"01121","Talladega","ALABAMA"
"01123","Tallapoosa","ALABAMA"
"01125","Tuscaloosa","ALABAMA"
"01127","Walker","ALABAMA"
"01129","Washington","ALABAMA"
"01131","Wilcox","ALABAMA"
"01133","Winston","ALABAMA"
"02013","Aleutians East","ALASKA"
"02016","Aleutians West","ALASKA"
"02020","Anchorage","ALASKA"
"02050","Bethel","ALASKA"
"02060","Bristol Bay","ALASKA"
"02068","Denali","ALASKA"
"02070","Dillingham","ALASKA"
"02090","Fairbanks North Star","ALASKA"
"02100","Haines","ALASKA"
"02110","Juneau","ALASKA"
"02122","Kenai Peninsula","ALASKA"
"02130","Ketchikan Gateway","ALASKA"
"02150","Kodiak Island","ALASKA"
"02164","Lake and Peninsula","ALASKA"
"02170","Matanuska-Susitna","ALASKA"
"02180","Nome","ALASKA"
"02185","North Slope","ALASKA"
"02188","Northwest Arctic","ALASKA"
"02201","Prince of Wales-Outer Ketchikan","ALASKA"
"02220","Sitka","ALASKA"
"02232","Skagway-Hoonah-Angoon","ALASKA"
"02240","Southeast Fairbanks","ALASKA"
"02261","Valdez-Cordova","ALASKA"
"02270","Wade Hampton","ALASKA"
"02280","Wrangell-Petersburg","ALASKA"
"02282","Yakutat","ALASKA"
"02290","Yukon-Koyukuk","ALASKA"
"04001","Apache","ARIZONA"
"04003","Cochise","ARIZONA"
"04005","Coconino","ARIZONA"
"04007","Gila","ARIZONA"
"04009","Graham","ARIZONA"
"04011","Greenlee","ARIZONA"
"04012","La Paz","ARIZONA"
"04013","Maricopa","ARIZONA"
"04015","Mohave","ARIZONA"
"04017","Navajo","ARIZONA"
"04019","Pima","ARIZONA"
"04021","Pinal","ARIZONA"
"04023","Santa Cruz","ARIZONA"
"04025","Yavapai","ARIZONA"
"04027","Yuma","ARIZONA"
"05001","Arkansas","ARKANSAS"
"05003","Ashley","ARKANSAS"
"05005","Baxter","ARKANSAS"
