,Year,State,County,FIPS
68023,1987,TEXAS,THROCKMORTON,48447.0
3616,1936,MONTANA,DANIELS,30019.0
17103,1969,KANSAS,COMANCHE,20033.0
72582,1985,TEXAS,ARCHER,48009.0
72125,1985,NORTH DAKOTA,GRAND FORKS,38035.0
59574,1941,ILLINOIS,BOONE,17007.0
37357,1958,OKLAHOMA,MAYES,40097.0
7731,1932,NORTH DAKOTA,RAMSEY,38071.0
26021,1964,IDAHO,OWYHEE,16073.0
125058,1997,OHIO,GREENE,39057.0
7546,1932,MISSOURI,COLE,29051.0
132766,1993,OKLAHOMA,WASHITA,40149.0
13111,1926,OKLAHOMA,HARPER,40059.0
8620,1931,MISSOURI,DUNKLIN,29069.0
138942,1990,NORTH DAKOTA,BOWMAN,38011.0
66711,1987,IOWA,VAN BUREN,19177.0
133023,1993,TEXAS,HENDERSON,48213.0
9732,1930,NORTH DAKOTA,ADAMS,38001.0
89045,1978,TEXAS,RANDALL,48381.0
47637,1951,MISSOURI,JEFFERSON,29099.0
67260,1987,MISSOURI,NEWTON,29145.0
128026,1995,KANSAS,SHAWNEE,20177.0
89981,1977,KANSAS,DICKINSON,20041.0
6632,1933,MISSOURI,SHANNON,29203.0
71076,1985,INDIANA,CLINTON,18023.0
72343,1985,PENNSYLVANIA,ERIE,42049.0
3530,1936,MISSOURI,KNOX,29103.0
94497,1975,ILLINOIS,EFFINGHAM,17049.0
121624,1999,SOUTH CAROLINA,GEORGETOWN,45043.0
38448,1957,MICHIGAN,GRATIOT,26057.0
90369,1977,MISSISSIPPI,MONROE,28095.0
37487,1958,SOUTH DAKOTA,KINGSBURY,46077.0
136294,1991,MICHIGAN,MACOMB,26099.0
18941,1968,INDIANA,GREENE,18055.0
7378,1932,KANSAS,WYANDOTTE,20209.0
12192,1927,NORTH DAKOTA,KIDDER,38043.0
104335,1971,LOUISIANA,TENSAS,22107.0
119038,2000,KANSAS,WABAUNSEE,20197.0
34563,1959,GEORGIA,TURNER,13287.0
124733,1997,MONTANA,HILL,30041.0
58020,1943,OKLAHOMA,PITTSBURG,40121.0
110674,2005,ILLINOIS,SHELBY,17173.0
121150,1999,MONTANA,DAWSON,30021.0
138903,1990,NORTH DAKOTA,STUTSMAN,38093.0
49399,1950,SOUTH DAKOTA,CLARK,46025.0
98138,1974,OHIO,WOOD,39173.0
35760,1959,SOUTH DAKOTA,EDMUNDS,46045.0
89688,1977,IDAHO,JEFFERSON,16051.0
139472,1990,TEXAS,BEE,48025.0
1352,1938,KANSAS,STAFFORD,20185.0
65857,1988,TEXAS,BORDEN,48033.0
4557,1935,MISSOURI,STODDARD,29207.0
19719,1968,OKLAHOMA,SEQUOYAH,40135.0
87635,1978,IOWA,LYON,19119.0
113708,2003,ARKANSAS,CRAIGHEAD,5031.0
94081,1976,WISCONSIN,LAFAYETTE,55065.0
48642,1950,INDIANA,PUTNAM,18133.0
26160,1964,INDIANA,HUNTINGTON,18069.0
108097,2007,MISSOURI,MONROE,29137.0
33357,1960,MINNESOTA,MOWER,27099.0
119425,2000,MONTANA,BLAINE,30005.0
44583,1953,INDIANA,OHIO,18115.0
127776,1995,IDAHO,MINIDOKA,16067.0
94910,1975,KENTUCKY,DAVIESS,21059.0
43641,1954,MONTANA,TETON,30099.0
108522,2007,OKLAHOMA,JACKSON,40065.0
47294,1951,INDIANA,DEARBORN,18029.0
113145,2004,OKLAHOMA,MAJOR,40093.0
79163,1982,OHIO,LICKING,39089.0
53318,1947,OKLAHOMA,KAY,40071.0
98256,1974,OREGON,POLK,41053.0
38708,1957,MISSOURI,AUDRAIN,29007.0
98528,1974,TEXAS,COOKE,48097.0
31449,1961,KANSAS,MONTGOMERY,20125.0
71949,1985,NEBRASKA,FRANKLIN,31061.0
120734,1999,KANSAS,ANDERSON,20003.0
16735,1969,GEORGIA,CANDLER,13043.0
35574,1959,OHIO,CLINTON,39027.0
4660,1935,NORTH DAKOTA,WILLIAMS,38105.0
15577,1921,OKLAHOMA,WOODS,40151.0
135749,1991,IDAHO,CARIBOU,16029.0
80361,1981,ILLINOIS,MARSHALL,17123.0
115661,2002,INDIANA,SULLIVAN,18153.0
86700,1979,TEXAS,HOPKINS,48223.0
137672,1990,CALIFORNIA,TULARE,6107.0
74543,1984,OHIO,LUCAS,39095.0
100947,1973,TEXAS,KIMBLE,48267.0
103389,1972,TEXAS,ZAVALA,48507.0
43062,1954,ILLINOIS,RICHLAND,17159.0
54932,1945,ILLINOIS,JERSEY,17083.0
122109,1998,ARKANSAS,CHICOT,5017.0
131682,1993,ILLINOIS,STEPHENSON,17177.0
81360,1981,NEVADA,EUREKA,32011.0
47886,1951,OHIO,VAN WERT,39161.0
46094,1952,KANSAS,STEVENS,20189.0
112317,2004,ILLINOIS,MACOUPIN,17117.0
76840,1983,OHIO,ASHTABULA,39007.0
53833,1946,INDIANA,TIPTON,18159.0
48017,1951,SOUTH DAKOTA,KINGSBURY,46077.0
22741,1966,KANSAS,MARSHALL,20117.0
31849,1961,MONTANA,GLACIER,30035.0
104985,1971,OKLAHOMA,OSAGE,40113.0
89939,1977,IOWA,APPANOOSE,19007.0
116432,2002,OKLAHOMA,PITTSBURG,40121.0
11,1939,COLORADO,BOULDER,8013.0
42271,1955,NORTH DAKOTA,STARK,38089.0
93888,1976,UTAH,MORGAN,49029.0
34707,1959,ILLINOIS,WABASH,17185.0
4045,1935,COLORADO,WELD,8123.0
89722,1977,ILLINOIS,WOODFORD,17203.0
101185,1973,WASHINGTON,STEVENS,53065.0
112100,2004,COLORADO,BOULDER,8013.0
100610,1973,OKLAHOMA,CUSTER,40039.0
86035,1979,NEBRASKA,KEITH,31101.0
104129,1971,INDIANA,BARTHOLOMEW,18005.0
65756,1988,TEXAS,DELTA,48119.0
128669,1995,NORTH DAKOTA,MOUNTRAIL,38061.0
111561,2005,OKLAHOMA,PONTOTOC,40123.0
111265,2005,NEBRASKA,SAUNDERS,31155.0
125061,1997,OHIO,WARREN,39165.0
79299,1982,OKLAHOMA,HARMON,40057.0
93352,1976,OKLAHOMA,PAYNE,40119.0
138766,1990,NEBRASKA,PHELPS,31137.0
81213,1981,MISSOURI,ST CLAIR,29185.0
29608,1962,ILLINOIS,MADISON,17119.0
59542,1941,ILLINOIS,LOGAN,17107.0
36813,1958,MINNESOTA,ROSEAU,27135.0
129922,1994,KANSAS,CLOUD,20029.0
97643,1974,MISSOURI,JEFFERSON,29099.0
124122,1997,ILLINOIS,ALEXANDER,17003.0
7305,1932,INDIANA,JENNINGS,18079.0
109900,2006,OHIO,LUCAS,39095.0
97278,1974,KENTUCKY,MERCER,21167.0
12215,1927,NORTH DAKOTA,MOUNTRAIL,38061.0
95352,1975,MONTANA,CARTER,30011.0
45113,1953,NORTH DAKOTA,BOWMAN,38011.0
9313,1930,KANSAS,ELLSWORTH,20053.0
