,Value
68023,25.7
3616,3.0
17103,29.0
72582,34.4
72125,51.3
59574,19.0
37357,17.5
7731,10.5
26021,50.7
125058,64.2
7546,11.0
132766,32.3
13111,14.6
8620,20.3
138942,18.3
66711,33.8
133023,23.3
9732,9.3
89045,18.7
47637,17.8
67260,34.6
128026,19.0
89981,18.5
6632,7.9
71076,63.4
72343,37.0
3530,12.2
94497,42.0
121624,42.0
38448,33.2
90369,29.2
37487,24.4
136294,51.0
18941,33.9
7378,15.0
12192,9.9
104335,29.0
119038,38.0
34563,21.0
124733,31.9
58020,5.0
110674,57.0
121150,30.7
138903,42.0
49399,11.5
98138,49.4
35760,5.6
89688,58.8
139472,19.3
1352,9.0
65857,30.0
4557,5.6
19719,19.6
87635,30.3
113708,45.0
94081,34.7
48642,17.5
26160,33.4
108097,59.2
33357,22.1
119425,29.4
44583,22.9
127776,105.1
94910,36.0
43641,23.5
108522,35.6
47294,10.0
113145,33.5
79163,39.0
53318,16.0
98256,59.0
38708,26.6
98528,30.8
31449,26.0
71949,43.3
120734,34.0
16735,28.8
35574,22.5
4660,5.5
15577,16.7
135749,41.6
80361,41.0
115661,47.8
86700,31.9
137672,83.1
74543,52.0
100947,21.3
103389,28.7
43062,28.0
54932,18.0
122109,48.0
131682,37.0
81360,53.9
47886,17.6
46094,16.0
112317,60.0
76840,35.4
53833,27.3
48017,15.0
22741,28.0
31849,24.3
104985,30.9
89939,40.9
116432,33.3
11,24.5
42271,14.5
93888,29.9
34707,23.0
4045,12.0
89722,46.0
101185,29.4
112100,47.0
100610,33.2
86035,36.9
104129,48.2
65756,35.0
128669,28.4
111561,20.0
111265,58.0
125061,61.4
79299,28.0
93352,26.2
138766,40.8
81213,34.1
29608,32.0
59542,22.0
36813,27.6
129922,39.8
97643,27.3
124122,63.0
7305,9.2
109900,79.5
97278,32.0
12215,13.3
95352,20.2
45113,8.5
9313,13.0
22621,44.5
115370,44.0
7092,10.0
19914,25.0
76050,37.0
51216,29.0
39041,25.0
102098,27.0
104976,34.8
24304,32.0
20293,28.0
110536,32.5
96853,22.2
16843,49.8
126229,21.0
48441,31.0
3735,16.7
49016,16.4
52554,24.0
71045,37.0
61866,15.0
87692,30.5
106754,39.0
93764,35.9
131016,15.3
64596,38.6
40035,31.6
90639,31.4
30636,22.0
40717,20.0
130198,24.0
18133,18.2
99477,28.2
89505,23.5
132774,81.0
60929,12.0
25364,31.7
81109,39.4
23273,40.0
132199,31.0
14160,11.6
104845,31.9
23140,34.5
15858,11.6
134779,17.1
50005,17.1
61147,25.0
116049,45.2
64336,54.0
86671,32.3
90098,34.0
11282,8.1
40691,30.0
94716,38.3
107061,36.0
25641,8.0
75949,51.9
44019,10.6
87151,39.0
23984,30.0
119283,54.8
80454,54.0
132007,60.0
83196,38.0
45977,21.1
30263,25.0
126504,26.8
33575,19.8
68280,45.0
1880,4.9
57707,9.8
135846,24.0
45367,9.1
60627,23.0
35566,18.2
54509,10.0
120284,61.0
31224,43.0
